epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.612,0.93936,1.01403,1.28971,0.68805,0.55439,0.62497,0.40985,1.40367,2.06463,1.72898,0.066822,6.64889e-05,6.64889e-05
2,267.816,0.89896,0.92381,1.26656,0.82596,0.72329,0.80092,0.56411,1.07777,1.07401,1.39406,0.0335521,0.00012986,0.00012986
3,329.198,0.89545,0.90212,1.26396,0.80773,0.77788,0.85429,0.61867,0.99887,0.91254,1.31711,0.00027882,0.000189931,0.000189931
4,389.251,0.86916,0.87522,1.25368,0.83872,0.75672,0.83877,0.60325,1.02847,0.98217,1.3204,0.00018515,0.00018515,0.00018515
5,448.641,0.86277,0.86038,1.24895,0.87459,0.76638,0.85763,0.61453,1.02056,0.90075,1.33199,0.0001802,0.0001802,0.0001802
6,508.795,0.86519,0.83776,1.24917,0.82285,0.78293,0.85012,0.61165,1.01289,0.894,1.33622,0.00017525,0.00017525,0.00017525
7,570.23,0.86075,0.83286,1.23984,0.87174,0.74757,0.84898,0.62682,0.97523,0.90944,1.3124,0.0001703,0.0001703,0.0001703
8,629.832,0.84479,0.79325,1.22357,0.82351,0.78997,0.85433,0.62337,1.00116,0.88116,1.32029,0.00016535,0.00016535,0.00016535
9,688.812,0.84082,0.78306,1.22757,0.85796,0.78666,0.85796,0.62886,0.9795,0.83447,1.30339,0.0001604,0.0001604,0.0001604
10,748.297,0.81961,0.7651,1.21435,0.85965,0.78228,0.85303,0.62633,0.99375,0.876,1.31612,0.00015545,0.00015545,0.00015545
11,809.151,0.83158,0.77459,1.21918,0.82467,0.79843,0.859,0.63853,0.97182,0.81971,1.29385,0.0001505,0.0001505,0.0001505
12,870.372,0.8454,0.76871,1.22734,0.86711,0.7798,0.86096,0.63698,0.97926,0.85096,1.30166,0.00014555,0.00014555,0.00014555
13,931.458,0.82958,0.76639,1.21767,0.85955,0.81403,0.87946,0.65364,0.9533,0.80785,1.27387,0.0001406,0.0001406,0.0001406
14,990.988,0.81356,0.73771,1.20682,0.88739,0.80369,0.87971,0.65333,0.97678,0.79258,1.28322,0.00013565,0.00013565,0.00013565
15,1049.79,0.8061,0.72662,1.19993,0.86658,0.80295,0.87699,0.65641,0.94331,0.79921,1.27648,0.0001307,0.0001307,0.0001307
16,1109.13,0.81817,0.73004,1.20005,0.85763,0.79123,0.87281,0.6586,0.93776,0.79122,1.26579,0.00012575,0.00012575,0.00012575
17,1170.68,0.79123,0.70722,1.19196,0.88544,0.78394,0.87792,0.65403,0.95771,0.77795,1.28927,0.0001208,0.0001208,0.0001208
18,1229.31,0.78987,0.69528,1.18854,0.86665,0.83204,0.88573,0.67076,0.93858,0.7488,1.27518,0.00011585,0.00011585,0.00011585
19,1289.39,0.78573,0.68248,1.18747,0.87492,0.80912,0.877,0.66326,0.93861,0.77468,1.27843,0.0001109,0.0001109,0.0001109
20,1348.68,0.77135,0.67408,1.1805,0.89456,0.79784,0.88255,0.66293,0.95201,0.75815,1.28196,0.00010595,0.00010595,0.00010595
21,1407.44,0.77091,0.66606,1.17881,0.89572,0.79833,0.88296,0.66469,0.94657,0.76588,1.27238,0.000101,0.000101,0.000101
22,1466.68,0.76043,0.66231,1.17282,0.88531,0.81649,0.89439,0.67718,0.92712,0.73855,1.26227,9.605e-05,9.605e-05,9.605e-05
23,1525.33,0.75316,0.65208,1.16805,0.88121,0.80543,0.87966,0.66779,0.93485,0.75631,1.26324,9.11e-05,9.11e-05,9.11e-05
24,1584.29,0.76799,0.65055,1.17145,0.87658,0.83119,0.89162,0.67725,0.92659,0.72624,1.25628,8.615e-05,8.615e-05,8.615e-05
25,1644.19,0.74987,0.64383,1.1668,0.88425,0.83451,0.89505,0.68061,0.92548,0.73469,1.25286,8.12e-05,8.12e-05,8.12e-05
26,1715.96,0.73776,0.6338,1.15691,0.88958,0.82033,0.88997,0.67902,0.91338,0.72808,1.24119,7.625e-05,7.625e-05,7.625e-05
27,1847.25,0.73403,0.6229,1.15581,0.90889,0.8206,0.89682,0.68269,0.91078,0.71413,1.24733,7.13e-05,7.13e-05,7.13e-05
28,1979.84,0.72937,0.61349,1.15104,0.90394,0.82898,0.8986,0.68756,0.90175,0.6976,1.2458,6.635e-05,6.635e-05,6.635e-05
29,2138.62,0.72737,0.60648,1.14652,0.91375,0.83044,0.89901,0.69182,0.88968,0.70044,1.22371,6.14e-05,6.14e-05,6.14e-05
30,2281.87,0.72666,0.61055,1.14802,0.9036,0.8374,0.90343,0.69551,0.89646,0.682,1.2227,5.645e-05,5.645e-05,5.645e-05
31,2448.51,0.67355,0.47699,1.13989,0.91147,0.82115,0.89496,0.68601,0.89587,0.70185,1.23405,5.15e-05,5.15e-05,5.15e-05
32,2578.71,0.65449,0.44699,1.12569,0.90669,0.81616,0.89642,0.68879,0.88778,0.68553,1.22017,4.655e-05,4.655e-05,4.655e-05
33,2701.99,0.63915,0.43287,1.11115,0.9101,0.81175,0.89065,0.68579,0.89408,0.70018,1.23544,4.16e-05,4.16e-05,4.16e-05
34,2843.17,0.63338,0.42506,1.11122,0.89671,0.83711,0.90233,0.69791,0.8833,0.67498,1.21476,3.665e-05,3.665e-05,3.665e-05
35,2989.09,0.62456,0.41782,1.10604,0.91505,0.82479,0.89796,0.69625,0.89198,0.68397,1.22705,3.17e-05,3.17e-05,3.17e-05
36,3124.82,0.61809,0.41216,1.09799,0.89186,0.84314,0.89804,0.6983,0.88341,0.68284,1.22237,2.675e-05,2.675e-05,2.675e-05
37,3272.66,0.61544,0.40821,1.10119,0.90857,0.82058,0.89389,0.69539,0.87548,0.68455,1.21918,2.18e-05,2.18e-05,2.18e-05
38,3411.74,0.60664,0.39994,1.09704,0.90508,0.83012,0.89313,0.69246,0.88284,0.68162,1.22466,1.685e-05,1.685e-05,1.685e-05
39,3553.6,0.60275,0.39351,1.09028,0.90007,0.83979,0.89754,0.6976,0.87911,0.67223,1.21674,1.19e-05,1.19e-05,1.19e-05
40,3692.02,0.59368,0.38652,1.08608,0.91536,0.82714,0.89619,0.70012,0.8723,0.67372,1.21541,6.95e-06,6.95e-06,6.95e-06
